year,pct_return,return,increasing_contribution,increasing_return,steady_contribution,steady_return
1980,25.77,1.2577,1000,1257.70,1000,1257.70
1981,-9.73,0.9027,1050,2083.16,1000,2038.03
1982,14.76,1.1476,1102.5,3655.86,1000,3486.44
1983,17.27,1.1727,1157.625,5644.78,1000,5261.25
1984,1.4,1.014,1215.50625,6956.33,1000,6348.90
1985,26.33,1.2633,1276.281563,10400.26,1000,9283.87
1986,14.62,1.1462,1340.095641,13456.79,1000,11787.37
1987,2.03,1.0203,1407.100423,15165.63,1000,13046.96
1988,11.84,1.1184,1477.455444,18613.63,1000,15710.12
1989,31.03,1.3103,1551.328216,26422.14,1000,21895.26
1990,-3.15,0.9685,1628.894627,27167.43,1000,22174.06
1991,30.77,1.3077,1710.339358,37763.46,1000,30304.72
1992,7.7,1.077,1795.856326,42605.38,1000,33715.19
1993,10.13,1.1013,1885.649142,48997.97,1000,38231.83
1994,1.33,1.0133,1979.931599,51655.91,1000,39753.62
1995,37.41,1.3741,2078.928179,73837.04,1000,55999.55
1996,22.85,1.2285,2182.874588,93390.46,1000,70023.94
1997,33.17,1.3317,2292.018318,127420.36,1000,94582.58
1998,28.44,1.2844,2406.619234,166749.77,1000,122766.27
1999,20.95,1.2095,2526.950195,204740.19,1000,149695.30
2000,-9.14,0.9086,2653.297705,188437.72,1000,136921.75
2001,-11.94,0.8806,2785.96259,168391.58,1000,121453.90
2002,22.05,1.2205,2925.26072,209092.20,1000,149454.98
2003,28.54,1.2854,3071.523756,272715.25,1000,193394.83
2004,10.82,1.1082,3225.099944,305797.10,1000,215428.35
2005,4.96,1.0496,3386.354941,324518.95,1000,227163.20
2006,15.79,1.1579,3555.672688,379877.61,1000,264190.17
2007,5.54,1.0554,3733.456322,404863.12,1000,279881.70
2008,-36.99,0.6301,3920.129138,257574.33,1000,176983.56
2009,26.68,1.2668,4116.135595,331509.48,1000,225469.57
2010,15.06,1.1506,4321.942375,386407.63,1000,260575.89
2011,2.11,1.0211,4538.039494,399194.62,1000,267095.14
2012,16.07,1.1607,4764.941469,468875.87,1000,311178.03
2013,32.45,1.3245,5003.188542,627652.81,1000,413479.81
2014,13.78,1.1378,5253.347969,720120.63,1000,471595.12
2015,1.46,1.0146,5516.015368,736230.94,1000,479495.01
2016,12.01,1.1201,5791.816136,831139.68,1000,538202.46
2017,21.82,1.2182,6081.406943,1019902.73,1000,656856.44
2018,-4.41,0.9559,6385.47729,981028.90,1000,628844.97
2019,31.45,1.3145,6704.751154,1298375.88,1000,827931.21
