month,LIncome,L2020,L2030,L2040,L2050
Aug-2005,0.17,0.15,0.07,0.07,
Sep-2005,0.52,1.06,1.17,1.35,
Oct-2005,-0.17,-1.34,-1.67,-1.9,
Nov-2005,1.03,2.42,2.8,3.08,
Dec-2005,0.59,1.11,1.22,1.32,
Jan-2006,1.1,2.92,3.4,3.84,
Feb-2006,0.25,0.07,0,-0.07,
Mar-2006,0.67,1.56,1.71,1.98,
Apr-2006,0.74,1.47,1.62,1.75,
May-2006,-0.33,-2.06,-2.45,-2.87,
Jun-2006,0.33,0.28,0.27,0.26,
Jul-2006,0.49,0.35,0.2,0.13,
Aug-2006,0.9,1.81,1.96,2.22,
Sep-2006,0.73,1.17,1.33,1.41,
Oct-2006,1.04,2.51,2.94,3.28,
Nov-2006,0.79,1.78,2.03,2.32,
Dec-2006,0.63,1.17,1.18,1.31,
Jan-2007,0.63,1.22,1.42,1.53,
Feb-2007,0.16,-0.38,-0.49,-0.64,
Mar-2007,0.62,1.08,1.16,1.34,
Apr-2007,1.08,2.58,2.95,3.28,
May-2007,0.92,2.15,2.52,2.79,
Jun-2007,0.08,-0.54,-0.8,-0.92,
Jul-2007,-0.23,-1.75,-2.13,-2.52,
Aug-2007,0.61,0.8,0.88,0.9,
Sep-2007,1.13,2.68,3.09,3.45,
Oct-2007,0.82,1.84,2.09,2.37,
Nov-2007,-0.44,-2.33,-2.94,-3.36,
Dec-2007,0.07,-0.54,-0.63,-0.82,
Jan-2008,-0.97,-3.9,-4.71,-5.37,
Feb-2008,-0.22,-1.25,-1.51,-1.8,
Mar-2008,0.23,-0.06,-0.18,-0.29,
Apr-2008,1.2,3.23,3.74,4.26,
May-2008,0.59,1.23,1.48,1.65,
Jun-2008,-1.47,-4.97,-5.88,-6.7,
Jul-2008,0,-0.82,-1.07,-1.31,
Aug-2008,0.35,0.16,0.17,0.11,
Sep-2008,-1.75,-6.01,-7.24,-8.35,
Oct-2008,-3.44,-11.1,-13.4,-15.4,
Nov-2008,-0.84,-3.91,-4.96,-5.85,
Dec-2008,1.21,2.82,3.24,3.63,
Jan-2009,-1.74,-5.58,-6.69,-7.67,
Feb-2009,-1.98,-6.22,-7.47,-8.52,
Mar-2009,2.06,5.35,6.3,7.08,
Apr-2009,2.37,6.79,8.2,9.38,
May-2009,1.7,4.66,5.45,6.19,
Jun-2009,0.26,0.14,0.12,0.09,
Jul-2009,1.94,5.16,6.16,7.01,
