,month,contribution,G Fund,C Fund,F Fund,g_returns,c_returns,f_returns
0,1988-01-01,609.42,0.69,-0.2,-0.06,1.0069,0.998,0.9994
1,1988-02-01,609.42,0.62,4.82,0.81,1.0062,1.0482,1.0081
2,1988-03-01,609.42,0.66,-3.47,-0.8,1.0066,0.9653,0.992
3,1988-04-01,609.42,0.68,0.73,-0.46,1.0068,1.0073,0.9954
4,1988-05-01,609.42,0.71,1.42,-0.63,1.0071,1.0142,0.9937
5,1988-06-01,609.42,0.72,4.08,1.97,1.0072,1.0408,1.0197
6,1988-07-01,609.42,0.72,-0.24,-0.49,1.0072,0.9976,0.9951
7,1988-08-01,609.42,0.76,-2.74,0.33,1.0076,0.9726,1.0033
8,1988-09-01,609.42,0.76,4.12,2.07,1.0076,1.0412,1.0207
9,1988-10-01,609.42,0.75,2.53,1.68,1.0075,1.0253,1.0168
10,1988-11-01,609.42,0.68,-1.23,-1.09,1.0068,0.9877,0.9891
11,1988-12-01,609.42,0.74,1.78,0.31,1.0074,1.0178,1.0031
12,1989-01-01,635.58,0.76,7.14,1.27,1.0076,1.0714,1.0127
13,1989-02-01,635.58,0.67,-2.51,-0.68,1.0067,0.9749,0.9932
14,1989-03-01,635.58,0.78,2.21,0.5,1.0078,1.0221,1.005
15,1989-04-01,635.58,0.75,5.14,2.05,1.0075,1.0514000000000001,1.0205
16,1989-05-01,635.58,0.76,3.98,2.42,1.0076,1.0398,1.0242
17,1989-06-01,635.58,0.7,-0.58,3.19,1.007,0.9942,1.0319
18,1989-07-01,635.58,0.69,8.83,2.06,1.0069,1.0883,1.0206
19,1989-08-01,635.58,0.66,1.98,-1.48,1.0066,1.0198,0.9852
20,1989-09-01,635.58,0.68,-0.29,0.37,1.0068,0.9971,1.0037
21,1989-10-01,635.58,0.71,-2.33,2.45,1.0071,0.9767,1.0245
22,1989-11-01,635.58,0.65,2.05,0.86,1.0065,1.0205,1.0086
23,1989-12-01,635.58,0.67,2.37,0.16,1.0067,1.0237,1.0016
24,1990-01-01,664.92,0.68,-6.59,-1.38,1.0068,0.9341,0.9862
25,1990-02-01,664.92,0.64,1.26,0.21,1.0064,1.0126,1.0021
26,1990-03-01,664.92,0.72,2.64,0.01,1.0072,1.0264,1.0001
27,1990-04-01,664.92,0.71,-2.52,-0.94,1.0071,0.9748,0.9906
28,1990-05-01,664.92,0.76,9.44,2.8,1.0076,1.0944,1.028
29,1990-06-01,664.92,0.71,-0.71,1.56,1.0071,0.9929,1.0156
30,1990-07-01,664.92,0.72,-0.36,1.24,1.0072,0.9964,1.0124
31,1990-08-01,664.92,0.72,-8.65,-1.42,1.0072,0.9135,0.9858
32,1990-09-01,664.92,0.73,-4.85,0.81,1.0073,0.9515,1.0081
33,1990-10-01,664.92,0.76,-0.46,1.32,1.0076,0.9954,1.0132
34,1990-11-01,664.92,0.7,6.36,2.15,1.007,1.0636,1.0215
35,1990-12-01,664.92,0.7,2.72,1.46,1.007,1.0272000000000001,1.0146
36,1991-01-01,706.25,0.69,4.55,1.15,1.0069,1.0455,1.0115
37,1991-02-01,706.25,0.62,7.07,0.86,1.0062,1.0707,1.0086
38,1991-03-01,706.25,0.68,2.4,0.67,1.0068,1.024,1.0067
