,month,contribution,GFund,FFund,CFund,g_returns,f_returns,c_returns
0,Jan-1988,609.42,0.69,-0.06,-0.2,1.0069,0.9994,0.998
1,Feb-1988,609.42,0.62,0.81,4.82,1.0062,1.0081,1.0482
2,Mar-1988,609.42,0.66,-0.8,-3.47,1.0066,0.992,0.9653
3,Apr-1988,609.42,0.68,-0.46,0.73,1.0068,0.9954,1.0073
4,May-1988,609.42,0.71,-0.63,1.42,1.0071,0.9937,1.0142
5,Jun-1988,609.42,0.72,1.97,4.08,1.0072,1.0197,1.0408
6,Jul-1988,609.42,0.72,-0.49,-0.24,1.0072,0.9951,0.9976
7,Aug-1988,609.42,0.76,0.33,-2.74,1.0076,1.0033,0.9726
8,Sep-1988,609.42,0.76,2.07,4.12,1.0076,1.0207,1.0412
9,Oct-1988,609.42,0.75,1.68,2.53,1.0075,1.0168,1.0253
10,Nov-1988,609.42,0.68,-1.09,-1.23,1.0068,0.9891,0.9877
11,Dec-1988,609.42,0.74,0.31,1.78,1.0074,1.0031,1.0178
12,Jan-1989,635.58,0.76,1.27,7.14,1.0076,1.0127,1.0714
13,Feb-1989,635.58,0.67,-0.68,-2.51,1.0067,0.9932,0.9749
14,Mar-1989,635.58,0.78,0.5,2.21,1.0078,1.005,1.0221
15,Apr-1989,635.58,0.75,2.05,5.14,1.0075,1.0205,1.0514000000000001
16,May-1989,635.58,0.76,2.42,3.98,1.0076,1.0242,1.0398
17,Jun-1989,635.58,0.7,3.19,-0.58,1.007,1.0319,0.9942
18,Jul-1989,635.58,0.69,2.06,8.83,1.0069,1.0206,1.0883
19,Aug-1989,635.58,0.66,-1.48,1.98,1.0066,0.9852,1.0198
20,Sep-1989,635.58,0.68,0.37,-0.29,1.0068,1.0037,0.9971
21,Oct-1989,635.58,0.71,2.45,-2.33,1.0071,1.0245,0.9767
22,Nov-1989,635.58,0.65,0.86,2.05,1.0065,1.0086,1.0205
23,Dec-1989,635.58,0.67,0.16,2.37,1.0067,1.0016,1.0237
24,Jan-1990,664.92,0.68,-1.38,-6.59,1.0068,0.9862,0.9341
25,Feb-1990,664.92,0.64,0.21,1.26,1.0064,1.0021,1.0126
26,Mar-1990,664.92,0.72,0.01,2.64,1.0072,1.0001,1.0264
27,Apr-1990,664.92,0.71,-0.94,-2.52,1.0071,0.9906,0.9748
28,May-1990,664.92,0.76,2.8,9.44,1.0076,1.028,1.0944
29,Jun-1990,664.92,0.71,1.56,-0.71,1.0071,1.0156,0.9929
30,Jul-1990,664.92,0.72,1.24,-0.36,1.0072,1.0124,0.9964
31,Aug-1990,664.92,0.72,-1.42,-8.65,1.0072,0.9858,0.9135
32,Sep-1990,664.92,0.73,0.81,-4.85,1.0073,1.0081,0.9515
33,Oct-1990,664.92,0.76,1.32,-0.46,1.0076,1.0132,0.9954
34,Nov-1990,664.92,0.7,2.15,6.36,1.007,1.0215,1.0636
35,Dec-1990,664.92,0.7,1.46,2.72,1.007,1.0146,1.0272000000000001
36,Jan-1991,706.25,0.69,1.15,4.55,1.0069,1.0115,1.0455
37,Feb-1991,706.25,0.62,0.86,7.07,1.0062,1.0086,1.0707
38,Mar-1991,706.25,0.68,0.67,2.4,1.0068,1.0067,1.024
39,Apr-1991,706.25,0.66,1.05,0.18,1.0066,1.0105,1.0018
40,May-1991,706.25,0.68,0.57,4.3,1.0068,1.0057,1.043
41,Jun-1991,706.25,0.66,-0.01,-4.49,1.0066,0.9999,0.9551
42,Jul-1991,706.25,0.69,1.4,4.63,1.0069,1.014,1.0463
43,Aug-1991,706.25,0.69,2.12,2.37,1.0069,1.0212,1.0237
44,Sep-1991,706.25,0.64,1.99,-1.63,1.0064,1.0199,0.9837
45,Oct-1991,706.25,0.62,1.09,1.39,1.0062,1.0109,1.0139
46,Nov-1991,706.25,0.61,0.89,-3.96,1.0061,1.0089,0.9604
47,Dec-1991,706.25,0.62,2.96,11.41,1.0062,1.0296,1.1141
48,Jan-1992,727.33,0.57,-1.35,-1.89,1.0057,0.9865,0.9811
49,Feb-1992,727.33,0.56,0.66,1.29,1.0056,1.0066,1.0129
50,Mar-1992,727.33,0.62,-0.53,-1.91,1.0062,0.9947,0.9809
51,Apr-1992,727.33,0.62,0.67,2.91,1.0062,1.0067,1.0291
52,May-1992,727.33,0.64,1.84,0.49,1.0064,1.0184,1.0049
53,Jun-1992,727.33,0.6,1.36,-1.45,1.006,1.0136,0.9855
54,Jul-1992,727.33,0.6,2.0,4.11,1.006,1.02,1.0411
55,Aug-1992,727.33,0.57,1.0,-2.02,1.0057,1.01,0.9798
56,Sep-1992,727.33,0.54,1.15,1.15,1.0054,1.0115,1.0115
57,Oct-1992,727.33,0.55,-1.3,0.42,1.0055,0.987,1.0042
58,Nov-1992,727.33,0.56,0.01,3.39,1.0056,1.0001,1.0339
59,Dec-1992,727.33,0.58,1.54,1.21,1.0058,1.0154,1.0121
60,Jan-1993,749.5,0.58,1.88,0.86,1.0058,1.0188,1.0086
61,Feb-1993,749.5,0.49,1.73,1.35,1.0049,1.0173,1.0135
62,Mar-1993,749.5,0.52,0.41,2.09,1.0052,1.0041,1.0209
63,Apr-1993,749.5,0.51,0.67,-2.39,1.0051,1.0067,0.9761
64,May-1993,749.5,0.51,0.1,2.66,1.0051,1.001,1.0266
65,Jun-1993,749.5,0.51,1.79,0.32,1.0051,1.0179,1.0032
66,Jul-1993,749.5,0.49,0.55,-0.38,1.0049,1.0055,0.9962
67,Aug-1993,749.5,0.49,1.72,3.78,1.0049,1.0172,1.0378
68,Sep-1993,749.5,0.45,0.26,-0.76,1.0045,1.0026,0.9924
69,Oct-1993,749.5,0.47,0.38,2.04,1.0047,1.0038,1.0204
70,Nov-1993,749.5,0.45,-0.84,-0.93,1.0045,0.9916,0.9907
71,Dec-1993,749.5,0.49,0.52,1.2,1.0049,1.0052,1.012
72,Jan-1994,770.0,0.51,1.33,3.4,1.0051,1.0133,1.034
73,Feb-1994,770.0,0.43,-1.72,-2.7,1.0043,0.9828,0.973
74,Mar-1994,770.0,0.52,-2.45,-4.39,1.0052,0.9755,0.9561
75,Apr-1994,770.0,0.56,-0.81,1.28,1.0056,0.9919,1.0128
76,May-1994,770.0,0.6,-0.02,1.66,1.006,0.9998,1.0166
77,Jun-1994,770.0,0.59,-0.24,-2.47,1.0059,0.9976,0.9753
78,Jul-1994,770.0,0.62,1.97,3.27,1.0062,1.0197,1.0327
79,Aug-1994,770.0,0.6,0.13,4.11,1.006,1.0013,1.0411
80,Sep-1994,770.0,0.59,-1.47,-2.44,1.0059,0.9853,0.9756
81,Oct-1994,770.0,0.65,-0.1,2.24,1.0065,0.999,1.0224
82,Nov-1994,770.0,0.64,-0.23,-3.62,1.0064,0.9977,0.9638
83,Dec-1994,770.0,0.68,0.69,1.49,1.0068,1.0069,1.0149
84,Jan-1995,770.0,0.67,1.98,2.58,1.0067,1.0198,1.0258
85,Feb-1995,770.0,0.59,2.38,3.87,1.0059,1.0238,1.0387
86,Mar-1995,770.0,0.62,0.6,2.94,1.0062,1.006,1.0294
87,Apr-1995,770.0,0.6,1.38,2.94,1.006,1.0138,1.0294
88,May-1995,770.0,0.61,3.84,3.98,1.0061,1.0384,1.0398
89,Jun-1995,770.0,0.53,0.71,2.31,1.0053,1.0071,1.0231
90,Jul-1995,770.0,0.55,-0.23,3.3,1.0055,0.9977,1.033
91,Aug-1995,770.0,0.56,1.21,0.26,1.0056,1.0121,1.0026
92,Sep-1995,770.0,0.53,0.95,4.19,1.0053,1.0095,1.0419
93,Oct-1995,770.0,0.54,1.28,-0.36,1.0054,1.0128,0.9964
94,Nov-1995,770.0,0.51,1.49,4.38,1.0051,1.0149,1.0438
95,Dec-1995,770.0,0.5,1.39,1.92,1.005,1.0139,1.0192
96,Jan-1996,791.67,0.49,0.66,3.41,1.0049,1.0066,1.0341
97,Feb-1996,791.67,0.46,-1.75,0.91,1.0046,0.9825,1.0091
98,Mar-1996,791.67,0.54,-0.68,0.97,1.0054,0.9932,1.0097
99,Apr-1996,791.67,0.54,-0.56,1.47,1.0054,0.9944,1.0147
100,May-1996,791.67,0.58,-0.11,2.56,1.0058,0.9989,1.0256
101,Jun-1996,791.67,0.57,1.34,0.38,1.0057,1.0134,1.0038
102,Jul-1996,791.67,0.58,0.27,-4.39,1.0058,1.0027,0.9561
103,Aug-1996,791.67,0.58,-0.18,2.07,1.0058,0.9982,1.0207
104,Sep-1996,791.67,0.58,1.72,5.6,1.0058,1.0172,1.056
105,Oct-1996,791.67,0.58,2.21,2.74,1.0058,1.0221,1.0274
106,Nov-1996,791.67,0.53,1.69,7.54,1.0053,1.0169,1.0754
107,Dec-1996,791.67,0.53,-0.93,-1.97,1.0053,0.9907,0.9803
108,Jan-1997,791.67,0.56,0.3,6.22,1.0056,1.003,1.0622
109,Feb-1997,791.67,0.51,0.24,0.79,1.0051,1.0024,1.0079
110,Mar-1997,791.67,0.57,-1.11,-4.13,1.0057,0.9889,0.9587
111,Apr-1997,791.67,0.58,1.49,6.0,1.0058,1.0149,1.06
112,May-1997,791.67,0.58,0.94,6.07,1.0058,1.0094,1.0607
113,Jun-1997,791.67,0.56,1.18,4.45,1.0056,1.0118,1.0445
114,Jul-1997,791.67,0.57,2.69,7.94,1.0057,1.0269,1.0794
115,Aug-1997,791.67,0.53,-0.86,-5.59,1.0053,0.9914,0.9441
116,Sep-1997,791.67,0.54,1.48,5.46,1.0054,1.0148,1.0546
117,Oct-1997,791.67,0.54,1.45,-3.38,1.0054,1.0145,0.9662
118,Nov-1997,791.67,0.5,0.46,4.61,1.005,1.0046,1.0461
119,Dec-1997,791.67,0.52,1.01,1.71,1.0052,1.0101,1.0171
120,Jan-1998,833.33,0.51,1.28,1.12,1.0051,1.0128,1.0112
121,Feb-1998,833.33,0.44,-0.07,7.2,1.0044,0.9993,1.072
122,Mar-1998,833.33,0.5,0.34,5.11,1.005,1.0034,1.0511
123,Apr-1998,833.33,0.49,0.52,1.0,1.0049,1.0052,1.01
124,May-1998,833.33,0.51,0.95,-1.72,1.0051,1.0095,0.9828
125,Jun-1998,833.33,0.48,0.85,4.05,1.0048,1.0085,1.0405
126,Jul-1998,833.33,0.49,0.21,-1.09,1.0049,1.0021,0.9891
