month,GFund,FFund,CFund
Jan-1988,613.62,609.05,608.2
Feb-1988,1230.63,1228.34,1276.31
Mar-1988,1852.19,1823.06,1820.3
Apr-1988,2478.35,2421.29,2447.45
May-1988,3109.69,3011.62,3100.28
Jun-1988,3745.89,3692.37,3861.06
Jul-1988,4386.67,4280.71,4459.75
Aug-1988,5034.06,4906.27,4930.27
Sep-1988,5686.37,5629.87,5767.93
Oct-1988,6343.01,6344.11,6538.69
Nov-1988,6999.71,6877.73,7060.19
Dec-1988,7665.43,7510.36,7806.13
Jan-1989,8364.1,8249.4,9044.45
Feb-1989,9059.98,8824.56,9437.06
Mar-1989,9771.18,9507.44,10295.25
Apr-1989,10484.82,10350.95,11492.67
May-1989,11204.91,11252.41,12610.95
Jun-1989,11923.37,12267.21,13169.7
Jul-1989,12645.61,13168.59,15024.29
Aug-1989,13368.85,13599.87,15969.94
Sep-1989,14099.66,14288.12,16557.36
Oct-1989,14839.86,15289.33,16792.35
Nov-1989,15576.03,16061.86,17785.2
Dec-1989,16320.22,16724.16,18857.35
Jan-1990,17100.64,17149.11,18235.75
Feb-1990,17879.26,17851.44,19138.82
Mar-1990,18677.7,18518.21,20326.56
Apr-1990,19479.95,19002.81,20462.49
May-1990,20297.97,20218.43,23121.84
Jun-1990,21111.73,21209.13,23617.88
Jul-1990,21933.44,22145.29,24195.38
Aug-1990,22761.07,22486.3,22709.88
Sep-1990,23597.0,23338.75,22241.12
Oct-1990,24446.31,24320.51,22800.68
Nov-1990,25287.01,25522.62,24958.01
Dec-1990,26133.59,26569.88,26319.87
Jan-1991,27025.04,27589.8,28255.81
Feb-1991,27903.22,28539.4,31009.68
Mar-1991,28804.02,29441.6,32477.11
Apr-1991,29705.04,30464.4,33243.09
May-1991,30618.08,31348.32,35409.16
Jun-1991,31531.07,32051.37,34493.83
Jul-1991,32459.76,33216.22,36829.84
Aug-1991,33394.86,34641.63,38425.7
Sep-1991,34319.35,36051.3,38494.1
Oct-1991,35242.76,37158.21,39745.23
Nov-1991,36168.3,38201.45,38849.61
Dec-1991,37103.17,40059.37,44069.18
Jan-1992,38046.14,40236.08,43949.85
Feb-1992,38990.6,41233.77,45253.52
Mar-1992,39964.18,41738.71,45102.62
Apr-1992,40943.8,42750.56,47163.6
May-1992,41937.82,44277.88,48125.59
Jun-1992,42921.14,45617.28,48144.56
Jul-1992,43910.36,47271.5,50880.52
Aug-1992,44892.13,48478.82,50565.37
Sep-1992,45865.8,49772.02,51882.57
Oct-1992,46849.4,49842.86,52830.86
Nov-1992,47843.15,50575.25,55373.81
Dec-1992,48852.19,52092.64,56779.97
Jan-1993,49889.38,53835.57,58024.22
Feb-1993,50887.01,55529.39,59567.16
Mar-1993,51905.02,56509.64,61577.28
Apr-1993,52923.06,57642.77,60837.17
May-1993,53946.29,58450.66,63224.88
Jun-1993,54974.74,60259.85,64179.1
Jul-1993,55997.29,61344.9,64681.87
Aug-1993,57024.85,63162.42,67904.67
Sep-1993,58034.33,64078.09,68132.4
Oct-1993,59060.12,65073.94,70287.09
Nov-1993,60078.76,65270.52,70375.95
Dec-1993,61126.32,66363.32,71978.96
Jan-1994,62211.99,68026.2,75222.42
Feb-1994,63252.81,67612.9,73940.63
Mar-1994,64355.73,66707.52,71430.83
Apr-1994,65490.44,66930.95,73125.0
May-1994,66658.0,67687.41,75121.66
Jun-1994,67825.82,68293.12,74017.13
Jul-1994,69021.12,70423.66,77232.67
Aug-1994,70209.86,71286.21,81208.58
Sep-1994,71398.65,70996.99,79978.3
Oct-1994,72637.74,71695.22,82557.07
Nov-1994,73877.55,72298.55,80310.63
Dec-1994,75155.15,73572.72,82288.73
Jan-1995,76433.85,75814.71,85201.64
Feb-1995,77659.36,78407.42,89298.75
Mar-1995,78915.62,79652.49,92716.77
Apr-1995,80163.73,81532.32,96235.28
May-1995,81427.43,85462.73,100866.09
Jun-1995,82633.07,86844.98,103983.88
Jul-1995,83861.79,87413.47,108210.76
Aug-1995,85105.73,89250.48,109264.11
Sep-1995,86330.87,90875.68,114644.54
Oct-1995,87571.21,92818.74,114999.05
Nov-1995,88791.75,94983.22,120839.73
Dec-1995,90009.56,97084.19,123944.64
Jan-1996,91246.16,98521.84,128989.82
Feb-1996,92461.2,97575.52,130962.5
Mar-1996,93756.44,97698.29,133032.18
Apr-1996,95058.67,97938.42,135791.06
May-1996,96406.27,98621.49,140079.25
Jun-1996,97751.97,100745.29,141406.23
Jul-1996,99115.19,101811.11,135955.41
Aug-1996,100486.32,102418.1,139577.75
Sep-1996,101865.4,104984.98,148230.11
Oct-1996,103252.49,108114.31,153104.97
Nov-1996,104595.59,110746.49,165500.45
Dec-1996,105945.81,110500.86,163016.16
Jan-1997,107335.21,111626.4,173996.68
Feb-1997,108678.33,112687.88,176169.18
Mar-1997,110093.98,112219.92,169652.37
Apr-1997,111528.78,114695.47,180670.68
May-1997,112971.91,116572.72,192477.11
Jun-1997,114400.66,118749.29,201869.24
Jul-1997,115848.93,122756.61,218752.19
Aug-1997,117258.79,122485.76,207271.36
Sep-1997,118687.93,125101.94,219423.27
Oct-1997,120124.79,127719.07,212771.68
Nov-1997,121521.05,129101.88,223408.62
Dec-1997,122948.74,131205.48,228034.11
Jan-1998,124413.36,133728.91,231430.76
Feb-1998,125797.78,134468.04,248987.1
Mar-1998,127264.26,135761.4,262586.25
Apr-1998,128725.27,137305.02,266053.78
May-1998,130219.35,139450.66,262296.65
Jun-1998,131681.73,141476.41,273786.75
Jul-1998,133164.38,142608.59,271626.72
Aug-1998,134654.3,145823.05,233035.08
Sep-1998,136083.78,150117.48,248672.28
Oct-1998,137478.47,150165.86,269940.12
Nov-1998,138892.71,151844.79,287128.16
Dec-1998,140326.86,153136.15,304548.08
Jan-1999,141753.06,155062.66,318176.89
Feb-1999,143128.22,153183.4,309152.8
Mar-1999,144638.17,154848.42,322354.58
Apr-1999,146140.67,156133.23,335662.96
May-1999,147664.78,155569.56,328554.98
Jun-1999,149225.75,155886.76,347636.42
Jul-1999,150839.39,156046.19,337527.8
Aug-1999,152476.58,156801.08,336669.32
Sep-1999,154091.79,159447.21,328120.08
Oct-1999,155746.23,160889.61,349809.06
Nov-1999,157378.11,161706.76,357655.23
Dec-1999,159065.78,161808.66,379639.39
