month,change
1-Jan-88,0.69
1-Feb-88,0.62
1-Mar-88,0.66
1-Apr-88,0.68
1-May-88,0.71
1-Jun-88,0.72
1-Jul-88,0.72
1-Aug-88,0.76
1-Sep-88,0.76
1-Oct-88,0.75
1-Nov-88,0.68
1-Dec-88,0.74
1-Jan-89,0.76
1-Feb-89,0.67
1-Mar-89,0.78
1-Apr-89,0.75
1-May-89,0.76
1-Jun-89,0.7
1-Jul-89,0.69
1-Aug-89,0.66
1-Sep-89,0.68
1-Oct-89,0.71
1-Nov-89,0.65
1-Dec-89,0.67
1-Jan-90,0.68
1-Feb-90,0.64
1-Mar-90,0.72
1-Apr-90,0.71
1-May-90,0.76
1-Jun-90,0.71
1-Jul-90,0.72
1-Aug-90,0.72
1-Sep-90,0.73
1-Oct-90,0.76
1-Nov-90,0.7
1-Dec-90,0.7
1-Jan-91,0.69
1-Feb-91,0.62
1-Mar-91,0.68
1-Apr-91,0.66
1-May-91,0.68
1-Jun-91,0.66
1-Jul-91,0.69
1-Aug-91,0.69
1-Sep-91,0.64
1-Oct-91,0.62
1-Nov-91,0.61
1-Dec-91,0.62
1-Jan-92,0.57
1-Feb-92,0.56
1-Mar-92,0.62
1-Apr-92,0.62
1-May-92,0.64
1-Jun-92,0.6
1-Jul-92,0.6
1-Aug-92,0.57
1-Sep-92,0.54
1-Oct-92,0.55
1-Nov-92,0.56
1-Dec-92,0.58
1-Jan-93,0.58
1-Feb-93,0.49
1-Mar-93,0.52
1-Apr-93,0.51
1-May-93,0.51
1-Jun-93,0.51
1-Jul-93,0.49
1-Aug-93,0.49
1-Sep-93,0.45
1-Oct-93,0.47
1-Nov-93,0.45
1-Dec-93,0.49
1-Jan-94,0.51
1-Feb-94,0.43
1-Mar-94,0.52
1-Apr-94,0.56
1-May-94,0.6
1-Jun-94,0.59
1-Jul-94,0.62
1-Aug-94,0.6
1-Sep-94,0.59
1-Oct-94,0.65
1-Nov-94,0.64
1-Dec-94,0.68
1-Jan-95,0.67
1-Feb-95,0.59
1-Mar-95,0.62
1-Apr-95,0.6
1-May-95,0.61
1-Jun-95,0.53
1-Jul-95,0.55
1-Aug-95,0.56
1-Sep-95,0.53
1-Oct-95,0.54
1-Nov-95,0.51
1-Dec-95,0.5
1-Jan-96,0.49
1-Feb-96,0.46
1-Mar-96,0.54
1-Apr-96,0.54
1-May-96,0.58
1-Jun-96,0.57
1-Jul-96,0.58
