,month,contribution,L2050,2050_returns
0,Feb-2011,1375.0,3.28,1.0328
1,Mar-2011,1375.0,-0.15,0.9985
2,Apr-2011,1375.0,3.57,1.0357
3,May-2011,1375.0,-1.39,0.9861
4,Jun-2011,1375.0,-1.48,0.9852
5,Jul-2011,1375.0,-1.75,0.9825
6,Aug-2011,1375.0,-6.16,0.9384
7,Sep-2011,1375.0,-7.8,0.922
8,Oct-2011,1375.0,9.92,1.0992
9,Nov-2011,1375.0,-0.78,0.9922
10,Dec-2011,1375.0,-0.01,0.9999
11,Jan-2012,1416.67,4.87,1.0487
12,Feb-2012,1416.67,3.99,1.0399
13,Mar-2012,1416.67,1.86,1.0186
14,Apr-2012,1416.67,-0.78,0.9922
15,May-2012,1416.67,-6.85,0.9315
16,Jun-2012,1416.67,4.27,1.0427
17,Jul-2012,1416.67,0.78,1.0078
18,Aug-2012,1416.67,2.51,1.0251
19,Sep-2012,1416.67,2.38,1.0238
20,Oct-2012,1416.67,-0.8,0.992
21,Nov-2012,1416.67,1.19,1.0119
22,Dec-2012,1416.67,1.93,1.0193
23,Jan-2013,1458.33,4.63,1.0463
24,Feb-2013,1458.33,0.56,1.0056
25,Mar-2013,1458.33,2.71,1.0271
26,Apr-2013,1458.33,2.41,1.0241
27,May-2013,1458.33,0.53,1.0053
28,Jun-2013,1458.33,-1.59,0.9841
29,Jul-2013,1458.33,4.83,1.0483
30,Aug-2013,1458.33,-2.11,0.9789
31,Sep-2013,1458.33,4.42,1.0442
32,Oct-2013,1458.33,3.47,1.0347
33,Nov-2013,1458.33,1.93,1.0193
34,Dec-2013,1458.33,1.98,1.0198
35,Jan-2014,1458.33,-2.71,0.9729
36,Feb-2014,1458.33,4.44,1.0444
37,Mar-2014,1458.33,0.09,1.0009
38,Apr-2014,1458.33,0.32,1.0032
39,May-2014,1458.33,1.78,1.0178
40,Jun-2014,1458.33,1.96,1.0196
41,Jul-2014,1458.33,-1.86,0.9814
42,Aug-2014,1458.33,2.61,1.0261
43,Sep-2014,1458.33,-2.5,0.975
44,Oct-2014,1458.33,1.7,1.017
45,Nov-2014,1458.33,1.55,1.0155
46,Dec-2014,1458.33,-0.94,0.9906
47,Jan-2015,1500.0,-1.18,0.9882
48,Feb-2015,1500.0,4.99,1.0499
49,Mar-2015,1500.0,-0.76,0.9924
50,Apr-2015,1500.0,1.16,1.0116
51,May-2015,1500.0,0.78,1.0078
52,Jun-2015,1500.0,-1.66,0.9834
53,Jul-2015,1500.0,1.46,1.0146
54,Aug-2015,1500.0,-5.37,0.9463
55,Sep-2015,1500.0,-3.09,0.9691
56,Oct-2015,1500.0,6.31,1.0631
57,Nov-2015,1500.0,0.24,1.0024
58,Dec-2015,1500.0,-1.85,0.9815
59,Jan-2016,1500.0,-4.86,0.9514
60,Feb-2016,1500.0,-0.63,0.9937
61,Mar-2016,1500.0,5.94,1.0594000000000001
62,Apr-2016,1500.0,0.95,1.0095
63,May-2016,1500.0,1.15,1.0115
64,Jun-2016,1500.0,-0.58,0.9942
65,Jul-2016,1500.0,3.74,1.0374
66,Aug-2016,1500.0,0.21,1.0021
67,Sep-2016,1500.0,0.48,1.0048
68,Oct-2016,1500.0,-1.89,0.9811
69,Nov-2016,1500.0,2.19,1.0219
70,Dec-2016,1500.0,2.04,1.0204
71,Jan-2017,1500.0,1.91,1.0191
72,Feb-2017,1500.0,2.51,1.0251
73,Mar-2017,1500.0,0.78,1.0078
74,Apr-2017,1500.0,1.34,1.0134
75,May-2017,1500.0,1.51,1.0151
76,Jun-2017,1500.0,0.58,1.0058
77,Jul-2017,1500.0,1.82,1.0182
78,Aug-2017,1500.0,0.15,1.0015
79,Sep-2017,1500.0,2.14,1.0214
80,Oct-2017,1500.0,1.63,1.0163
81,Nov-2017,1500.0,2.03,1.0203
82,Dec-2017,1500.0,1.0,1.01
83,Jan-2018,1541.67,4.15,1.0415
84,Feb-2018,1541.67,-3.41,0.9659
85,Mar-2018,1541.67,-1.11,0.9889
86,Apr-2018,1541.67,0.69,1.0069
87,May-2018,1541.67,1.26,1.0126
88,Jun-2018,1541.67,0.12,1.0012
89,Jul-2018,1541.67,2.48,1.0248
90,Aug-2018,1541.67,1.65,1.0165
91,Sep-2018,1541.67,0.21,1.0021
92,Oct-2018,1541.67,-6.35,0.9365
93,Nov-2018,1541.67,1.22,1.0122
94,Dec-2018,1541.67,-6.45,0.9355
95,Jan-2019,1541.67,6.67,1.0667
96,Feb-2019,1541.67,2.68,1.0268
97,Mar-2019,1541.67,1.02,1.0102
98,Apr-2019,1541.67,2.96,1.0296
99,May-2019,1541.67,-4.67,0.9533
100,Jun-2019,1541.67,5.52,1.0552
101,Jul-2019,1541.67,0.22,1.0022
102,Aug-2019,1541.67,-1.46,0.9854
