,month,contribution,LIncome,L2020,L2030,L2040,income_returns,2020_returns,2030_returns,2040_returns
0,Aug-2005,1166.67,0.17,0.15,0.07,0.07,1.0017,1.0015,1.0007,1.0007
1,Sep-2005,1166.67,0.52,1.06,1.17,1.35,1.0052,1.0106,1.0117,1.0135
2,Oct-2005,1166.67,-0.17,-1.34,-1.67,-1.9,0.9983,0.9866,0.9833,0.981
3,Nov-2005,1166.67,1.03,2.42,2.8,3.08,1.0103,1.0242,1.028,1.0308
4,Dec-2005,1166.67,0.59,1.11,1.22,1.32,1.0059,1.0111,1.0122,1.0132
5,Jan-2006,1250.0,1.1,2.92,3.4,3.84,1.011,1.0292,1.034,1.0384
6,Feb-2006,1250.0,0.25,0.07,0.0,-0.07,1.0025,1.0007,1.0,0.9993
7,Mar-2006,1250.0,0.67,1.56,1.71,1.98,1.0067,1.0156,1.0171,1.0198
8,Apr-2006,1250.0,0.74,1.47,1.62,1.75,1.0074,1.0147,1.0162,1.0175
9,May-2006,1250.0,-0.33,-2.06,-2.45,-2.87,0.9967,0.9794,0.9755,0.9713
10,Jun-2006,1250.0,0.33,0.28,0.27,0.26,1.0033,1.0028,1.0027,1.0026
11,Jul-2006,1250.0,0.49,0.35,0.2,0.13,1.0049,1.0035,1.002,1.0013
12,Aug-2006,1250.0,0.9,1.81,1.96,2.22,1.009,1.0181,1.0196,1.0222
13,Sep-2006,1250.0,0.73,1.17,1.33,1.41,1.0073,1.0117,1.0133,1.0141
14,Oct-2006,1250.0,1.04,2.51,2.94,3.28,1.0104,1.0251,1.0294,1.0328
15,Nov-2006,1250.0,0.79,1.78,2.03,2.32,1.0079,1.0178,1.0203,1.0232
16,Dec-2006,1250.0,0.63,1.17,1.18,1.31,1.0063,1.0117,1.0118,1.0131000000000001
17,Jan-2007,1291.67,0.63,1.22,1.42,1.53,1.0063,1.0122,1.0142,1.0153
18,Feb-2007,1291.67,0.16,-0.38,-0.49,-0.64,1.0016,0.9962,0.9951,0.9936
19,Mar-2007,1291.67,0.62,1.08,1.16,1.34,1.0062,1.0108,1.0116,1.0134
20,Apr-2007,1291.67,1.08,2.58,2.95,3.28,1.0108,1.0258,1.0295,1.0328
21,May-2007,1291.67,0.92,2.15,2.52,2.79,1.0092,1.0215,1.0252,1.0279
22,Jun-2007,1291.67,0.08,-0.54,-0.8,-0.92,1.0008,0.9946,0.992,0.9908
23,Jul-2007,1291.67,-0.23,-1.75,-2.13,-2.52,0.9977,0.9825,0.9787,0.9748
24,Aug-2007,1291.67,0.61,0.8,0.88,0.9,1.0061,1.008,1.0088,1.009
25,Sep-2007,1291.67,1.13,2.68,3.09,3.45,1.0113,1.0268,1.0309,1.0345
26,Oct-2007,1291.67,0.82,1.84,2.09,2.37,1.0082,1.0184,1.0209,1.0237
27,Nov-2007,1291.67,-0.44,-2.33,-2.94,-3.36,0.9956,0.9767,0.9706,0.9664
28,Dec-2007,1291.67,0.07,-0.54,-0.63,-0.82,1.0007,0.9946,0.9937,0.9918
29,Jan-2008,1291.67,-0.97,-3.9,-4.71,-5.37,0.9903,0.961,0.9529,0.9463
30,Feb-2008,1291.67,-0.22,-1.25,-1.51,-1.8,0.9978,0.9875,0.9849,0.982
31,Mar-2008,1291.67,0.23,-0.06,-0.18,-0.29,1.0023,0.9994,0.9982,0.9971
32,Apr-2008,1291.67,1.2,3.23,3.74,4.26,1.012,1.0323,1.0374,1.0426
33,May-2008,1291.67,0.59,1.23,1.48,1.65,1.0059,1.0123,1.0148,1.0165
34,Jun-2008,1291.67,-1.47,-4.97,-5.88,-6.7,0.9853,0.9503,0.9412,0.933
35,Jul-2008,1291.67,0.0,-0.82,-1.07,-1.31,1.0,0.9918,0.9893,0.9869
36,Aug-2008,1291.67,0.35,0.16,0.17,0.11,1.0035,1.0016,1.0017,1.0011
37,Sep-2008,1291.67,-1.75,-6.01,-7.24,-8.35,0.9825,0.9399,0.9276,0.9165
38,Oct-2008,1291.67,-3.44,-11.1,-13.4,-15.4,0.9656,0.889,0.866,0.846
39,Nov-2008,1291.67,-0.84,-3.91,-4.96,-5.85,0.9916,0.9609,0.9504,0.9415
40,Dec-2008,1291.67,1.21,2.82,3.24,3.63,1.0121,1.0282,1.0324,1.0363
41,Jan-2009,1375.0,-1.74,-5.58,-6.69,-7.67,0.9826,0.9442,0.9331,0.9233
42,Feb-2009,1375.0,-1.98,-6.22,-7.47,-8.52,0.9802,0.9378,0.9253,0.9148000000000001
43,Mar-2009,1375.0,2.06,5.35,6.3,7.08,1.0206,1.0535,1.063,1.0708
44,Apr-2009,1375.0,2.37,6.79,8.2,9.38,1.0237,1.0679,1.082,1.0938
45,May-2009,1375.0,1.7,4.66,5.45,6.19,1.017,1.0466,1.0545,1.0619
46,Jun-2009,1375.0,0.26,0.14,0.12,0.09,1.0026,1.0014,1.0012,1.0009
47,Jul-2009,1375.0,1.94,5.16,6.16,7.01,1.0194,1.0516,1.0616,1.0701
48,Aug-2009,1375.0,1.07,2.57,3.02,3.41,1.0107,1.0257,1.0302,1.0341
49,Sep-2009,1375.0,1.08,2.63,3.14,3.56,1.0108,1.0263,1.0314,1.0356
50,Oct-2009,1375.0,-0.26,-1.39,-1.81,-2.15,0.9974,0.9861,0.9819,0.9785
51,Nov-2009,1375.0,1.27,3.0,3.55,3.98,1.0127,1.03,1.0355,1.0398
52,Dec-2009,1375.0,0.59,1.5,1.85,2.12,1.0059,1.015,1.0185,1.0212
53,Jan-2010,1375.0,-0.45,-2.03,-2.49,-2.88,0.9955,0.9797,0.9751,0.9712
54,Feb-2010,1375.0,0.74,1.61,1.94,2.18,1.0074,1.0161,1.0194,1.0218
55,Mar-2010,1375.0,1.43,3.75,4.52,5.15,1.0143,1.0375,1.0452,1.0515
56,Apr-2010,1375.0,0.5,0.76,0.94,1.05,1.005,1.0076,1.0094,1.0105
57,May-2010,1375.0,-1.5,-4.98,-6.07,-6.97,0.985,0.9502,0.9393,0.9303
58,Jun-2010,1375.0,-0.61,-2.34,-2.98,-3.47,0.9939,0.9766,0.9702,0.9653
59,Jul-2010,1375.0,1.81,4.82,5.8,6.6,1.0181,1.0482,1.058,1.066
60,Aug-2010,1375.0,-0.63,-2.29,-2.88,-3.33,0.9937,0.9771,0.9712,0.9667
61,Sep-2010,1375.0,2.0,5.54,6.77,7.76,1.02,1.0554000000000001,1.0677,1.0776
62,Oct-2010,1375.0,0.92,2.29,2.78,3.16,1.0092,1.0229,1.0278,1.0316
63,Nov-2010,1375.0,-0.05,-0.49,-0.56,-0.64,0.9995,0.9951,0.9944,0.9936
64,Dec-2010,1375.0,1.49,4.08,4.96,5.67,1.0149,1.0408,1.0496,1.0567
65,Jan-2011,1375.0,0.63,1.35,1.57,1.75,1.0063,1.0135,1.0157,1.0175
66,Feb-2011,1375.0,0.9,2.15,2.6,2.95,1.009,1.0215,1.026,1.0295
67,Mar-2011,1375.0,0.17,-0.03,-0.05,-0.08,1.0017,0.9997,0.9995,0.9992
68,Apr-2011,1375.0,1.01,2.37,2.83,3.2,1.0101,1.0237,1.0283,1.032
69,May-2011,1375.0,-0.05,-0.74,-0.97,-1.15,0.9995,0.9926,0.9903,0.9885
