,month,contribution,S Fund,I Fund,s_returns,i_returns
0,2001-01-01,875.0,5.44,-0.05,1.0544,0.9995
1,2001-02-01,875.0,-12.15,-7.5,0.8785,0.925
2,2001-03-01,875.0,-9.18,-6.67,0.9082,0.9333
3,2001-04-01,875.0,10.58,6.95,1.1058,1.0695000000000001
4,2001-05-01,875.0,1.42,-4.13,1.0142,0.9587
5,2001-06-01,875.0,0.66,-3.99,1.0066,0.9601
6,2001-07-01,875.0,-4.13,-1.79,0.9587,0.9821
7,2001-08-01,875.0,-4.32,-2.58,0.9568,0.9742
8,2001-09-01,875.0,-12.5,-9.95,0.875,0.9005
9,2001-10-01,875.0,5.09,2.47,1.0509,1.0247
10,2001-11-01,875.0,7.84,3.56,1.0784,1.0356
11,2001-12-01,875.0,5.31,0.52,1.0531,1.0052
12,2002-01-01,916.67,-2.02,-5.33,0.9798,0.9467
13,2002-02-01,916.67,-2.64,0.66,0.9736,1.0066
14,2002-03-01,916.67,6.83,5.82,1.0683,1.0582
15,2002-04-01,916.67,-1.06,0.25,0.9894,1.0025
16,2002-05-01,916.67,-2.39,1.29,0.9761,1.0129
17,2002-06-01,916.67,-6.67,-3.87,0.9333,0.9613
18,2002-07-01,916.67,-9.93,-9.99,0.9007000000000001,0.9001
19,2002-08-01,916.67,0.58,-0.26,1.0058,0.9974
20,2002-09-01,916.67,-6.84,-10.75,0.9316,0.8925
21,2002-10-01,916.67,3.38,5.42,1.0338,1.0542
22,2002-11-01,916.67,6.76,4.49,1.0676,1.0449
23,2002-12-01,916.67,-4.32,-3.27,0.9568,0.9673
24,2003-01-01,1000.0,-2.35,-4.24,0.9765,0.9576
25,2003-02-01,1000.0,-2.56,-2.29,0.9744,0.9771
26,2003-03-01,1000.0,1.55,-1.9,1.0155,0.981
27,2003-04-01,1000.0,8.31,9.82,1.0831,1.0982
28,2003-05-01,1000.0,9.42,6.07,1.0942,1.0607
29,2003-06-01,1000.0,2.2,2.3,1.022,1.023
30,2003-07-01,1000.0,4.21,2.54,1.0421,1.0254
31,2003-08-01,1000.0,4.51,2.19,1.0451,1.0219
32,2003-09-01,1000.0,-1.35,3.08,0.9865,1.0308
33,2003-10-01,1000.0,7.65,6.06,1.0765,1.0606
34,2003-11-01,1000.0,3.47,2.22,1.0347,1.0222
35,2003-12-01,1000.0,2.04,7.68,1.0204,1.0768
