month,SFund,IFund
Jan-2001,922.6,874.56
Feb-2001,1579.19,1618.35
Mar-2001,2228.9,2327.04
Apr-2001,3432.29,3424.58
May-2001,4368.45,4122.01
Jun-2001,5278.06,4797.63
Jul-2001,5898.94,5571.09
Aug-2001,6481.3,6279.78
Sep-2001,6436.77,6442.88
Oct-2001,7683.93,7498.63
Nov-2001,9229.96,8671.73
Dec-2001,10641.53,9596.37
Jan-2002,11324.72,9952.7
Feb-2002,11918.22,10941.11
Mar-2002,13711.51,12547.9
Apr-2002,14473.12,13498.23
May-2002,15021.98,14600.85
Jun-2002,14875.54,14916.99
Jul-2002,14224.04,14251.88
Aug-2002,15228.53,15129.11
Sep-2002,15040.87,14320.86
Oct-2002,16496.9,16063.41
Nov-2002,18590.73,17742.48
Dec-2002,18664.68,18049.0
Jan-2003,19202.56,18241.32
Feb-2003,19685.38,18800.69
Mar-2003,21006.0,19424.48
Apr-2003,23834.7,22430.16
May-2003,27174.13,24852.37
Jun-2003,28793.96,26446.98
Jul-2003,31048.28,28144.13
Aug-2003,33493.66,29782.39
Sep-2003,34028.0,31730.49
Oct-2003,37707.64,34713.95
Nov-2003,40050.79,36506.8
Dec-2003,41888.23,40387.33
Jan-2004,44488.45,42018.07
Feb-2004,46382.96,44058.25
Mar-2004,47646.66,45412.43
Apr-2004,46810.03,45421.71
May-2004,48611.76,46644.55
Jun-2004,51046.8,49107.22
Jul-2004,49252.55,48303.38
Aug-2004,50335.88,49880.58
Sep-2004,53434.84,52008.67
Oct-2004,55526.75,55183.83
Nov-2004,60550.15,59733.21
Dec-2004,64203.59,63480.31
Jan-2005,63154.21,63438.08
Feb-2005,65633.03,67408.6
Mar-2005,65557.22,66847.17
Apr-2005,64241.76,66469.92
May-2005,69365.64,67366.05
Jun-2005,72909.25,69807.43
Jul-2005,78216.77,73153.0
Aug-2005,78581.66,76720.2
Sep-2005,80410.25,80753.1
Oct-2005,79676.17,79544.1
Nov-2005,84658.63,82680.11
Dec-2005,86142.85,87737.27
Jan-2006,93248.17,94451.09
Feb-2006,93572.09,95442.7
Mar-2006,98463.26,99912.57
Apr-2006,100052.28,106048.72
May-2006,96885.5,103146.26
Jun-2006,98596.74,104396.26
Jul-2006,97061.01,106681.59
Aug-2006,100424.7,110910.5
Sep-2006,102569.44,112328.74
Oct-2006,109000.03,117974.24
Nov-2006,114152.88,122753.28
Dec-2006,115529.82,127859.78
Jan-2007,120489.69,130843.33
