Year,FERS,FERS_Agency_only,CSRS,US,active_nocontr,separated,FERS_Roth,US_Roth,Total
1987,219000,355000,372000,0,42000,0,0,0,989000
1988,340000,390000,388000,0,189000,0,0,0,1307000
1989,440000,428000,423000,0,164000,0,0,0,1454000
1990,555000,430000,461000,0,191000,0,0,0,1638000
1991,667000,411000,515000,0,183000,0,0,0,1776000
1992,786000,375000,588000,0,167000,0,0,0,1916000
1993,868000,326000,619000,0,224000,0,0,0,2036000
1994,942000,300000,634000,0,243000,0,0,0,2119000
1995,1014000,280000,635000,0,265000,0,0,0,2195000
1996,1085000,250000,653000,0,267000,0,0,0,2254000
1997,1136000,211000,664000,0,292000,0,0,0,2303000
1998,1192000,193000,662000,0,324000,0,0,0,2370000
1999,1271000,201000,640000,0,339000,0,0,0,2451000
2000,1301000,198000,619000,0,357000,0,0,0,2475000
2001,1348000,209000,593000,0,390000,0,0,0,2573000
2002,1404000,206000,559000,280000,460000,0,0,0,2958000
2003,1480000,229000,522000,359000,555000,0,0,0,3202000
2004,1521000,233000,475000,435000,627000,0,0,0,3353000
2005,1562000,248000,431000,499000,715000,0,0,0,3523000
2006,1600000,279000,374000,538000,839000,0,0,0,3701000
2007,1647000,293000,332000,581000,923000,0,0,0,3850000
2008,1720000,343000,291000,621000,1002000,0,0,0,4038000
2009,1853000,421000,252000,647000,1091000,0,0,0,4264000
2010,1967000,396000,222000,692000,1156000,0,0,0,4433000
2011,2020000,367000,189000,712000,1251000,0,0,0,4539000
2012,2061000,338000,160000,721000,1334000,0,101000,0,4614274
2013,2038000,335000,130000,698000,300000,1124000,160120,134087,4625488
2014,2085000,314000,108000,691000,295000,1207000,238179,236476,4700070
2015,2174000,295000,91000,705000,304000,1301000,318003,358859,4854917
2016,2251000,282000,75000,735000,284000,1391000,392386,474756,5018363
2017,2260000,269000,61000,791000,303000,1487000,463884,607709,5170761
