month,FERS,FERS_Roth,CSRS,CSRS_Roth,US,US_Roth,BRS,BRS_Roth,Bene,Bene_Roth,total,total_roth
Jan-18,3294263,464582,334459,9920,1446211,553624,87645,66913,22146,0,5184724,1095039
Feb-18,3296085,471022,332013,9961,1431211,546603,120856,88772,22227,0,5202392,1116358
Mar-18,3299608,478623,330013,9963,1423567,546213,162256,111347,22399,0,5237843,1146146
Apr-18,3304026,484116,328071,9962,1417611,545942,183067,126467,22712,0,5255487,1166487
May-18,3313024,490496,326317,9981,1414770,546550,205437,140138,23274,0,5282822,1187165
Jun-18,3322569,490496,324663,9981,1409679,546550,228962,140138,23672,0,5309545,1187165
Jul-18,3332206,501374,323032,9937,1402304,544991,251860,164769,23787,0,5333189,1221071
Aug-18,3339518,501374,320640,9937,1397055,544991,278570,164769,24140,788,5359923,1221859
Sep-18,3339518,512405,320640,9948,1406257,547409,301368,191655,24338,794,5392121,1262211
Oct-18,3365766,518582,317957,9932,1391760,546661,329589,206176,24620,810,5429692,1282161
Nov-18,3380140,525812,316810,9958,1386159,543421,360338,224975,24815,830,5468262,1304996
Dec-18,3389322,531665,315647,9982,1369646,534192,408175,252176,25127,858,5507917,1328873
Jan-19,3396291,531665,314193,9982,1334581,534192,474459,252176,25464,858,5544988,1328873
Feb-19,3402695,547402,312520,10068,1336814,516614,528480,307931,25677,936,5606186,1382951
