date,L_Income,L_2020,L_2030,L_2040,L_2050,G_Fund,F_Fund,C_Fund,S_Fund,I_Fund, 
2019-06-20, 20.609700, 28.416500, 32.917600, 35.986300, 20.905000, 16.187100, 19.228200, 42.783800, 52.581200, 30.476900, 
2019-06-19, 20.564800, 28.334800, 32.723600, 35.735400, 20.740600, 16.186200, 19.181100, 42.378500, 52.277100, 30.145800, 
2019-06-18, 20.539100, 28.288800, 32.617500, 35.598200, 20.650500, 16.185200, 19.133100, 42.252400, 52.045500, 29.896100, 
2019-06-17, 20.495200, 28.208600, 32.425900, 35.349600, 20.486700, 16.184200, 19.096600, 41.844400, 51.477400, 29.637700, 
2019-06-14, 20.490700, 28.202100, 32.416800, 35.338600, 20.479600, 16.181200, 19.086300, 41.805300, 51.261000, 29.703800, 
2019-06-13, 20.504600, 28.228700, 32.484700, 35.428300, 20.539700, 16.180200, 19.093800, 41.867000, 51.627300, 29.848800, 
2019-06-12, 20.492800, 28.208100, 32.439400, 35.369600, 20.501000, 16.179200, 19.056800, 41.683800, 51.216500, 29.961400, 
2019-06-11, 20.501100, 28.224500, 32.482700, 35.426200, 20.538400, 16.178200, 19.045700, 41.768200, 51.231000, 30.068600, 
2019-06-10, 20.492000, 28.208200, 32.445900, 35.379300, 20.508100, 16.177200, 19.040100, 41.780900, 51.384300, 29.863500, 
2019-06-07, 20.474100, 28.175400, 32.367000, 35.277000, 20.440400, 16.174200, 19.084200, 41.586900, 51.065500, 29.783000, 
2019-06-06, 20.425200, 28.086600, 32.157700, 35.007000, 20.263700, 16.173200, 19.033100, 41.151100, 50.694600, 29.442200, 
2019-06-05, 20.408700, 28.056600, 32.087400, 34.917200, 20.205500, 16.172200, 19.033600, 40.889100, 50.644800, 29.424800, 
2019-06-04, 20.383100, 28.009800, 31.976500, 34.775000, 20.112800, 16.171200, 19.034200, 40.553100, 50.474400, 29.340500, 
2019-06-03, 20.304400, 27.863100, 31.617000, 34.308300, 19.804900, 16.170300, 19.073200, 39.700400, 49.206400, 28.963000, 



