Ticker,company,sector,Asset Class,Market Value,pct,Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"NESN","NESTLE SA","Consumer Staples","Equity","1,229,041,498.80","2.57","1,229,041,498.80","10,223,973.00","S71238703","CH0038863350","7123870","120.21","Switzerland","Six Swiss Exchange Ag","USD","0.93","-","CHF"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","855,475,825.43","1.79","855,475,825.43","2,413,636.00","S71103881","CH0012032048","7110388","354.43","Switzerland","Six Swiss Exchange Ag","USD","0.93","-","CHF"
"NOVN","NOVARTIS AG","Health Care","Equity","635,822,360.65","1.33","635,822,360.65","7,380,323.00","S71030654","CH0012005267","7103065","86.15","Switzerland","Six Swiss Exchange Ag","USD","0.93","-","CHF"
"SAP","SAP","Information Technology","Equity","587,587,165.39","1.23","587,587,165.39","3,587,421.00","S48462881","DE0007164600","4846288","163.79","Germany","Xetra","USD","0.86","-","EUR"
"ASML","ASML HOLDING NV","Information Technology","Equity","575,057,838.94","1.20","575,057,838.94","1,462,342.00","-","NL0010273215","B929F46","393.24","Netherlands","Euronext Amsterdam","USD","0.86","-","EUR"
"AZN","ASTRAZENECA PLC","Health Care","Equity","502,762,804.85","1.05","502,762,804.85","4,507,987.00","S09895293","GB0009895292","0989529","111.53","United Kingdom","London Stock Exchange","USD","0.78","-","GBP"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","458,251,472.09","0.96","458,251,472.09","7,286,464.00","S69006435","JP3633400001","6900643","62.89","Japan","Tokyo Stock Exchange","USD","107.00","-","JPY"
"MC","LVMH","Consumer Discretionary","Equity","446,566,720.22","0.93","446,566,720.22","954,255.00","S40614125","FR0000121014","4061412","467.97","France","Nyse Euronext - Euronext Paris","USD","0.86","-","EUR"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","409,632,016.54","0.86","409,632,016.54","6,078,852.00","-","DK0060534915","BHC8X90","67.39","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.42","-","DKK"
"SAN","SANOFI SA","Health Care","Equity","409,508,234.19","0.86","409,508,234.19","3,876,801.00","S56717358","FR0000120578","5671735","105.63","France","Nyse Euronext - Euronext Paris","USD","0.86","-","EUR"
"1299","AIA GROUP LTD","Financials","Equity","390,328,443.80","0.82","390,328,443.80","41,531,000.00","-","HK0000069689","B4TX8S1","9.40","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"GSK","GLAXOSMITHKLINE PLC","Health Care","Equity","353,130,225.51","0.74","353,130,225.51","17,233,761.00","S09252883","GB0009252882","0925288","20.49","United Kingdom","London Stock Exchange","USD","0.78","-","GBP"
"SIE","SIEMENS N AG","Industrials","Equity","350,137,758.66","0.73","350,137,758.66","2,628,138.00","S57279739","DE0007236101","5727973","133.23","Germany","Xetra","USD","0.86","-","EUR"
