Ticker,company,sector,Asset Class,Market Value,pct,Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"MSFT","MICROSOFT CORP","Information Technology","Equity","11,664,219,458.32","5.73","11,664,219,458.32","57,589,708.00","594918104","US5949181045","2588173","202.54","United States","NASDAQ","USD","1.00","-","USD"
"AAPL","APPLE INC","Information Technology","Equity","11,490,718,542.48","5.64","11,490,718,542.48","30,940,596.00","037833100","US0378331005","2046251","371.38","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","9,502,377,812.20","4.66","9,502,377,812.20","3,181,724.00","023135106","US0231351067","2000019","2,986.55","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","4,247,388,811.00","2.08","4,247,388,811.00","18,260,485.00","30303M102","US30303M1027","B7TL820","232.60","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","3,457,498,362.00","1.70","3,457,498,362.00","2,279,544.00","02079K305","US02079K3059","BYVY8G0","1,516.75","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","3,367,693,939.04","1.65","3,367,693,939.04","2,221,903.00","02079K107","US02079K1079","BYY88Y7","1,515.68","United States","NASDAQ","USD","1.00","-","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","2,994,461,803.98","1.47","2,994,461,803.98","20,015,118.00","478160104","US4781601046","2475833","149.61","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","2,852,990,912.25","1.40","2,852,990,912.25","14,763,213.00","084670702","US0846707026","2073390","193.25","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"V","VISA INC CLASS A","Information Technology","Equity","2,529,072,377.10","1.24","2,529,072,377.10","12,809,970.00","92826C839","US92826C8394","B2PZN04","197.43","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","2,372,986,460.56","1.16","2,372,986,460.56","18,809,341.00","742718109","US7427181091","2704407","126.16","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,291,092,732.46","1.12","2,291,092,732.46","23,147,027.00","46625H100","US46625H1005","2190385","98.98","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","2,183,352,699.06","1.07","2,183,352,699.06","7,206,498.00","91324P102","US91324P1021","2917766","302.97","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","2,156,022,311.73","1.06","2,156,022,311.73","8,172,633.00","437076102","US4370761029","2434209","263.81","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","2,081,232,927.90","1.02","2,081,232,927.90","6,715,821.00","57636Q104","US57636Q1040","B121557","309.90","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,943,256,810.40","0.95","1,943,256,810.40","32,173,126.00","458140100","US4581401001","2463247","60.40","United States","NASDAQ","USD","1.00","-","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","1,893,255,542.47","0.93","1,893,255,542.47","4,672,513.00","67066G104","US67066G1040","2379504","405.19","United States","NASDAQ","USD","1.00","-","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,756,126,009.45","0.86","1,756,126,009.45","31,443,617.00","92343V104","US92343V1044","2090571","55.85","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PFE","PFIZER INC","Health Care","Equity","1,621,278,648.46","0.80","1,621,278,648.46","42,209,806.00","717081103","US7170811035","2684703","38.41","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"DIS","WALT DISNEY","Communication","Equity","1,621,243,421.16","0.80","1,621,243,421.16","13,725,393.00","254687106","US2546871060","2270726","118.12","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"T","AT&T INC","Communication","Equity","1,618,819,248.80","0.79","1,618,819,248.80","54,141,112.00","00206R102","US00206R1023","2831811","29.90","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NFLX","NETFLIX INC","Communication","Equity","1,596,058,510.18","0.78","1,596,058,510.18","3,341,971.00","64110L106","US64110L1061","2857817","477.58","United States","NASDAQ","USD","1.00","-","USD"
"ADBE","ADOBE INC","Information Technology","Equity","1,579,956,415.66","0.78","1,579,956,415.66","3,659,509.00","00724F101","US00724F1012","2008154","431.74","United States","NASDAQ","USD","1.00","-","USD"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","1,550,513,036.20","0.76","1,550,513,036.20","8,918,170.00","70450Y103","US70450Y1038","BYW36M8","173.86","United States","NASDAQ","USD","1.00","-","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","1,527,806,166.59","0.75","1,527,806,166.59","32,225,399.00","17275R102","US17275R1023","2198163","47.41","United States","NASDAQ","USD","1.00","-","USD"
"MRK","MERCK & CO INC","Health Care","Equity","1,497,194,234.64","0.73","1,497,194,234.64","19,180,044.00","58933Y105","US58933Y1055","2778844","78.06","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,470,585,400.97","0.72","1,470,585,400.97","34,610,153.00","20030N101","US20030N1019","2044545","42.49","United States","NASDAQ","USD","1.00","-","USD"
"BAC","BANK OF AMERICA CORP","Financials","Equity","1,455,993,733.92","0.71","1,455,993,733.92","59,331,448.00","060505104","US0605051046","2295677","24.54","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","1,445,275,289.84","0.71","1,445,275,289.84","10,543,298.00","713448108","US7134481081","2681511","137.08","United States","NASDAQ","USD","1.00","-","USD"
"KO","COCA-COLA","Consumer Staples","Equity","1,418,091,264.40","0.70","1,418,091,264.40","29,372,230.00","191216100","US1912161007","2206657","48.28","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"WMT","WALMART INC","Consumer Staples","Equity","1,416,402,432.24","0.70","1,416,402,432.24","10,759,666.00","931142103","US9311421039","2936921","131.64","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,404,044,292.00","0.69","1,404,044,292.00","32,129,160.00","30231G102","US30231G1022","2326618","43.70","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,355,123,132.30","0.67","1,355,123,132.30","13,441,015.00","002824100","US0028241000","2002305","100.82","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ABBV","ABBVIE INC","Health Care","Equity","1,312,778,253.91","0.64","1,312,778,253.91","13,391,597.00","00287Y109","US00287Y1091","B92SR70","98.03","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CVX","CHEVRON CORP","Energy","Equity","1,291,131,293.97","0.63","1,291,131,293.97","14,186,697.00","166764100","US1667641005","2838555","91.01","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","1,290,155,463.96","0.63","1,290,155,463.96","6,842,874.00","79466L302","US79466L3024","2310525","188.54","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","1,231,911,641.52","0.60","1,231,911,641.52","3,001,149.00","883556102","US8835561023","2886907","410.48","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"AMGN","AMGEN INC","Health Care","Equity","1,126,768,187.52","0.55","1,126,768,187.52","4,467,048.00","031162100","US0311621009","2023607","252.24","United States","NASDAQ","USD","1.00","-","USD"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","1,116,173,501.55","0.55","1,116,173,501.55","5,650,081.00","580135101","US5801351017","2550707","197.55","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","1,094,111,768.29","0.54","1,094,111,768.29","3,355,039.00","22160K105","US22160K1051","2701271","326.11","United States","NASDAQ","USD","1.00","-","USD"
