company,pct
MICROSOFT CORP,4.22
APPLE INC,3.6
AMAZON COM INC,3.22
FACEBOOK CLASS A INC,1.87
BERKSHIRE HATHAWAY INC CLASS B,1.64
JOHNSON & JOHNSON,1.54
JPMORGAN CHASE & CO,1.48
ALPHABET INC CLASS C,1.39
ALPHABET INC CLASS A,1.36
EXXON MOBIL CORP,1.32
VISA INC CLASS A,1.23
PROCTER & GAMBLE,1.15
BANK OF AMERICA CORP,1.04
WALT DISNEY,1.02
CISCO SYSTEMS INC,1.01
VERIZON COMMUNICATIONS INC,0.99
PFIZER INC,0.99
UNITEDHEALTH GROUP INC,0.98
AT&T INC,0.97
MASTERCARD INC CLASS A,0.97
HOME DEPOT INC,0.97
CHEVRON CORP,0.96
MERCK & CO INC,0.89
INTEL CORP,0.86
COCA-COLA,0.81
COMCAST CORP CLASS A,0.8
BOEING,0.77
PEPSICO INC,0.77
WELLS FARGO,0.77
CITIGROUP INC,0.65
MCDONALDS CORP,0.65
WALMART INC,0.64
NETFLIX INC,0.63
ABBOTT LABORATORIES,0.6
PAYPAL HOLDINGS INC,0.57
ORACLE CORP,0.56
ADOBE INC,0.56
MEDTRONIC PLC,0.54
HONEYWELL INTERNATIONAL INC,0.52
PHILIP MORRIS INTERNATIONAL INC,0.5
INTERNATIONAL BUSINESS MACHINES CO,0.5
UNION PACIFIC CORP,0.49
ACCENTURE PLC CLASS A,0.49
BLK CSH FND TREASURY SL AGENCY,0.48
ABBVIE INC,0.48
COSTCO WHOLESALE CORP,0.48
THERMO FISHER SCIENTIFIC INC,0.48
SALESFORCE.COM INC,0.48
AMGEN INC,0.46
LINDE PLC,0.46
