,company,pct
0,NESTLE SA,2.46
1,ROCHE HOLDING PAR AG,1.82
2,NOVARTIS AG,1.4
3,ASML HOLDING NV,1.21
4,SAP,1.13
5,ASTRAZENECA PLC,1.04
6,TOYOTA MOTOR CORP,0.99
7,LVMH,0.93
8,AIA GROUP LTD,0.88
9,SANOFI SA,0.87
10,NOVO NORDISK CLASS B,0.86
11,HSBC HOLDINGS PLC,0.76
12,GLAXOSMITHKLINE PLC,0.76
13,TOTAL SA,0.72
14,SIEMENS N AG,0.68
15,CSL LTD,0.68
16,BRITISH AMERICAN TOBACCO PLC,0.66
17,SONY CORP,0.66
18,COMMONWEALTH BANK OF AUSTRALIA,0.65
19,ALLIANZ,0.65
20,SOFTBANK GROUP CORP,0.63
21,LOREAL SA,0.6000000000000001
22,DIAGEO PLC,0.59
23,BP PLC,0.58
24,UNILEVER NV,0.58
25,KEYENCE CORP,0.55
26,BAYER AG,0.55
27,BHP GROUP LTD,0.54
28,ENEL,0.53
29,IBERDROLA SA,0.52
30,AIR LIQUIDE SA,0.52
31,ROYAL DUTCH SHELL PLC,0.5
32,RECKITT BENCKISER GROUP PLC,0.49
33,RIO TINTO PLC,0.47000000000000003
34,UNILEVER PLC,0.47000000000000003
35,SCHNEIDER ELECTRIC,0.45
36,ROYAL DUTCH SHELL PLC CLASS B,0.43
37,DEUTSCHE TELEKOM N AG,0.42
38,TAKEDA PHARMACEUTICAL LTD,0.41000000000000003
39,HONG KONG EXCHANGES AND CLEARING L,0.4
40,ZURICH INSURANCE GROUP AG,0.4
41,ADIDAS N AG,0.39
42,BASF N,0.39
43,NINTENDO LTD,0.38
44,KDDI CORP,0.36
45,VINCI SA,0.36
46,MITSUBISHI UFJ FINANCIAL GROUP INC,0.36
47,BNP PARIBAS SA,0.35000000000000003
48,PROSUS NV,0.34
